x y
2 0
214.263 777.8496
214.7658 778.7007
215.6344 779.5518
216.3201 780.8956
216.5029 782.0603
217.0057 782.9114
217.0057 783.5833
217.1886 784.4344
218.1943 784.748
218.6971 785.7783
219.7485 786.271
220.2514 787.1221
221.3028 787.9284
221.9884 788.7795
222.1256 790.1233
222.9941 791.1536
224.1827 791.6464
224.8684 792.4975
225.4169 793.3038
226.1026 794.334
226.6054 794.8268
227.9768 795.3195
228.8454 796.1706
229.1654 796.6634
230.5368 797.5145
230.5368 796.6634
230.3539 795.4987
229.3482 794.6476
228.2968 793.9757
227.794 793.4829
227.2911 792.1391
226.6054 791.1536
225.5541 790.7953
225.2341 789.9442
224.7312 789.4514
224.0455 788.4659
223.177 787.9284
222.8113 787.4357
222.6741 786.9429
221.9884 785.9126
221.6227 785.1063
221.1199 784.4344
220.7542 783.7625
220.0685 782.9114
219.0628 782.4187
218.56 781.7467
218.0114 780.7165
217.1886 780.0445
216.1372 779.1935
215.2687 777.8496
214.583 777.7152
214.263 777.8496
