x y
3 0
239.4541 671.3985
242.5592 672.2238
243.3821 671.8655
245.302 671.0144
247.1762 670.7008
248.3648 670.7008
250.239 669.6706
251.4732 668.6851
252.4789 667.6548
253.5303 666.8485
255.7245 665.639
257.2788 664.9671
258.4673 664.4744
259.3358 663.9816
261.7586 662.4586
262.9472 661.6075
264.6385 660.1293
266.5585 659.4574
268.067 658.9198
269.9869 657.9344
271.4955 657.2624
273.5525 654.8883
274.4211 654.5748
275.2896 654.082
277.8495 653.4101
278.5352 653.2309
279.9066 652.8726
281.9637 651.7079
283.1522 650.5432
284.5236 649.3786
286.9464 649.0202
