x y
3 0
345.9719 183.3887
345.6625 184.7014
345.0197 185.7643
344.1432 187.2187
343.6757 188.6731
343.442 190.1834
343.9094 191.8616
344.1432 193.0923
343.442 194.7704
343.2667 195.8333
344.1432 197.2877
344.786 198.5743
343.6757 200.0287
343.442 200.8678
341.9226 201.4831
341.0461 202.9375
341.0461 204.4479
342.1564 205.6785
343.0329 206.9651
344.786 207.3567
346.7728 207.8042
347.8246 207.8042
349.1686 207.3567
349.5777 208.1958
349.4024 209.4824
348.2921 210.4893
348.0583 211.1605
347.8246 212.1674
