x y
3 0
566.5409 172.6273
560.4732 173.0454
557.6099 173.6607
556.4996 173.8845
556.2658 174.0523
555.6231 174.4998
554.7465 174.7236
553.6363 174.4998
553.461 173.6607
552.9935 173.437
551.8832 173.6607
551.2404 173.6607
549.2536 173.6607
548.3771 173.0454
547.7343 172.5979
546.8578 171.7588
546.8578 170.696
545.9813 170.0807
545.3385 169.2416
543.9945 169.4653
543.5854 169.8569
543.1179 170.3044
542.4751 170.9197
541.8324 171.1435
541.3649 171.5351
540.0793 171.5351
539.4365 171.5351
538.0925 171.1435
537.216 170.696
536.5732 170.5282
535.9304 169.8569
535.9304 169.2416
536.3394 168.4025
536.5732 167.7872
535.2292 167.5634
535.2292 166.9481
534.5864 166.5006
533.4761 165.4937
532.8333 164.4308
533.0671 163.5917
533.0671 162.9764
532.5996 162.7527
531.314 162.7527
530.4375 162.7527
529.7947 162.1373
527.8079 161.4661
526.4639 160.8507
525.1783 160.8507
524.5355 161.0745
523.659 162.1373
523.4253 163.368
522.9578 164.4308
522.315 164.8224
521.0294 165.0462
521.0294 165.4937
520.7957 166.3328
520.3282 166.7243
519.6854 167.5634
519.2764 168.1787
519.0426 168.85
518.3998 169.6891
517.5233 170.0807
517.5233 170.3044
516.1793 170.9197
515.5365 171.5351
514.66 172.2063
514.4263 172.5979
513.7835 172.3742
512.9069 172.2063
511.5629 172.3742
511.1539 172.8217
510.5111 173.2132
509.8099 173.0454
508.758 172.8217
508.758 172.5979
