x y
2 0
-76.4283 402.8543
-74.2319 403.739
-72.8665 404.2109
-73.3414 406.3932
-73.757 408.1627
-71.5605 407.7498
-70.1952 408.6346
-67.9987 410.8169
-67.5238 412.5864
-66.2178 414.8277
-65.7429 416.1253
-64.4369 416.5972
-64.4369 417.0101
-63.0715 417.8948
-60.8751 417.0101
-60.8751 414.8277
-58.6193 416.1253
-59.9846 418.7795
-60.8751 420.1361
-60.8751 421.9056
-58.6193 422.3185
-57.7288 420.1361
-57.3133 419.2514
-55.5324 417.8948
-55.5324 416.5972
-57.7288 414.3559
-59.0942 413.4711
-61.2906 413.0583
-61.2906 411.2888
-63.0715 409.9322
-60.8751 407.7498
-60.8751 406.3932
-62.656 405.0956
-65.3274 403.739
-65.3274 402.8543
-67.5238 402.8543
-69.7796 403.3262
-70.6701 404.2109
-72.451 403.739
-72.8665 402.4414
-75.5379 402.4414
-77.3188 402.8543
