x y
1 0
137.2805 464.3729
136.3901 463.0163
136.3901 462.1316
135.9152 460.834
133.7187 459.9492
131.9378 457.7079
130.5724 457.7079
128.7915 458.5926
128.376 459.9492
126.1202 458.1797
124.3393 458.1797
123.0333 457.7079
120.7774 457.295
118.1061 456.8232
116.3252 456.8232
114.1287 459.4774
114.5443 461.7187
115.9096 463.901
115.0192 464.7858
114.1287 466.5552
115.9096 467.44
115.4347 470.566
115.0192 473.6331
114.1287 475.4026
111.8729 474.9897
111.8729 472.3355
109.2015 471.4508
108.3111 472.7484
107.4206 474.5179
105.2242 477.1721
103.4433 479.4134
102.9684 480.711
101.1875 483.3652
101.1875 486.0194
102.0779 488.2607
102.0779 490.0302
101.1875 490.915
99.8815 491.3278
98.991 493.5692
98.5161 496.2234
96.3196 497.521
94.0638 498.4057
92.7578 498.8776
90.0865 498.4057
88.7211 497.1081
88.3056 495.7515
85.1593 492.6844
84.7438 492.2126
83.3784 490.4431
81.5975 490.0302
78.5106 488.6736
79.401 487.376
79.8166 485.1347
81.5975 481.5957
81.5975 479.4134
81.1819 476.7592
79.8166 475.4026
77.1452 474.9897
74.9488 474.5179
74.9488 472.7484
74.4739 470.566
74.9488 468.3247
74.4739 467.0271
73.1679 467.0271
72.5149 468.0888
72.2774 469.6813
72.8117 470.684
72.2774 470.9789
70.0216 470.0942
70.4965 467.9118
68.2407 464.7858
66.4598 464.7858
64.2633 464.7858
62.0075 466.5552
60.7015 466.5552
59.3361 466.5552
58.4457 466.1424
56.6648 467.0271
53.5779 467.0271
52.6874 467.9118
50.9065 468.7966
48.2352 470.0942
47.7602 470.9789
47.3447 472.7484
46.8698 473.6331
45.0889 474.5179
43.7829 475.8745
41.1115 475.4026
39.7462 475.4026
37.5497 474.9897
35.7688 475.4026
34.8784 476.2873
33.9879 478.5287
33.9879 480.711
33.9879 483.3652
35.2939 483.8371
36.1843 483.8371
37.0748 484.7218
34.8784 486.4913
33.513 486.9042
32.6225 487.7889
31.7321 488.2607
29.5356 488.6736
28.1703 489.5584
26.8643 490.915
26.3894 492.2126
24.6085 492.6844
23.718 494.4539
21.5215 495.3386
20.6311 495.7515
20.6311 497.521
20.1562 497.9928
17.9597 499.2904
16.5944 500.1752
16.1788 501.9446
14.8135 501.9446
12.1421 501.9446
9.4707 501.5318
8.1647 501.9446
9.4707 504.186
10.3612 504.186
12.1421 504.186
13.5075 504.5989
15.2884 505.4836
16.1788 505.9554
18.8502 506.3683
19.7406 507.2531
20.1562 508.6097
20.1562 509.0225
20.6311 509.9073
21.9371 511.6767
25.4989 513.9181
27.2798 514.3309
27.7547 513.9181
29.5356 513.0333
31.3165 513.0333
33.9879 513.0333
34.8784 513.0333
35.7688 513.9181
37.5497 515.6875
38.8557 516.1004
39.3306 516.9851
39.3306 517.8699
40.6366 519.2265
41.5271 520.1112
42.002 521.8807
40.6366 521.8807
40.2211 521.8807
38.4402 523.1783
38.4402 524.063
37.0748 523.6502
34.8784 523.6502
34.4034 524.063
33.513 524.5349
33.0974 525.4196
31.3165 525.4196
28.6452 525.8325
28.6452 527.1891
29.5356 528.9586
29.9512 531.1409
32.6225 531.6128
33.0974 532.4975
33.513 534.6799
35.2939 535.1517
36.6593 535.1517
37.9653 532.9104
39.7462 532.9104
41.5271 532.9104
43.308 533.7951
44.6733 533.7951
45.5638 533.7951
46.8698 534.6799
47.3447 536.0364
48.6507 536.9212
49.5412 536.0364
50.0161 536.0364
52.6874 535.1517
53.9934 535.1517
53.9934 538.2188
54.8839 540.4601
55.7743 542.2296
57.1397 543.1143
58.0301 544.4119
58.4457 545.2967
59.3361 546.6533
60.7015 548.4227
61.1171 550.6051
61.1171 551.9617
61.1171 553.7312
61.1171 554.6159
61.592 556.3854
62.0075 557.2701
62.898 558.1548
64.6789 561.2219
66.0442 563.8761
66.0442 565.2327
66.9347 567.0022
67.3502 567.4151
68.7156 568.2998
69.606 568.2998
71.8025 569.6564
73.1085 571.6028
74.177 571.1899
77.1452 569.5384
78.0357 570.5411
80.2915 570.954
82.0724 569.1845
84.7438 568.2998
87.4151 568.2998
89.196 569.6564
90.502 571.8387
90.9769 573.1953
92.2829 574.9648
94.0638 577.1471
94.9543 578.9166
95.4292 582.4556
96.3196 585.1098
98.1006 584.6969
98.991 582.9274
101.6624 582.9274
102.9684 582.0427
106.5302 582.0427
108.786 582.0427
110.092 582.9274
112.7634 584.6969
115.0192 585.5816
118.1061 586.4664
120.7774 588.2358
123.0333 588.2358
124.8142 589.5334
126.5951 590.89
128.7915 590.89
131.4629 590.4182
134.6092 590.4182
138.171 591.3029
140.8423 591.7748
141.7328 589.5334
144.8197 588.6487
148.3815 588.2358
150.1624 588.2358
153.3087 588.2358
155.0896 586.4664
155.5051 583.8121
155.98 581.5708
156.3956 578.5037
155.98 575.8495
155.0896 573.1953
153.7242 570.954
156.8705 570.0693
160.8479 569.6564
160.8479 567.8869
160.4323 565.2327
159.0669 562.5785
162.6288 561.2219
164.4097 559.9243
165.775 557.683
166.1906 555.0288
166.6655 552.8464
167.9715 551.0769
169.7524 549.3075
169.7524 547.0661
172.0082 544.4119
173.7891 542.6425
175.57 540.873
176.876 544.4119
175.57 545.7685
174.6796 547.538
175.0951 548.8356
178.2414 547.0661
179.5474 545.2967
180.0223 542.6425
179.5474 539.1035
178.2414 536.0364
176.4605 534.267
175.0951 533.3822
173.3142 532.9104
172.0082 531.1409
169.7524 529.8433
167.081 530.2562
164.4097 530.2562
161.3228 530.2562
159.9574 528.4867
159.9574 526.3044
162.2132 525.8325
165.775 524.5349
166.1906 522.7654
166.1906 520.9959
163.9941 520.9959
162.6288 523.6502
159.0669 521.8807
158.6514 519.2265
158.6514 516.5723
157.286 515.2157
156.3956 513.0333
155.5051 510.792
155.0896 508.6097
154.1991 506.8402
156.3956 506.8402
158.6514 508.6097
160.4323 511.2639
161.7383 513.4462
164.8846 513.9181
167.081 515.2157
170.2273 516.5723
171.5333 519.2265
170.2273 523.1783
170.2273 524.9478
172.4238 524.9478
174.6796 525.4196
176.4605 526.7172
178.2414 527.1891
179.5474 525.4196
182.6936 524.063
184.8901 526.3044
184.8901 528.9586
187.1459 528.0738
188.0364 526.3044
189.8173 524.5349
189.8173 522.2936
191.5982 519.6394
192.0137 515.6875
192.4886 513.0333
193.7946 509.0225
195.16 505.9554
193.7946 502.4165
193.7946 497.9928
193.3791 493.5692
192.4886 490.915
191.1233 487.7889
190.2328 485.6065
189.8173 482.4805
187.5615 480.2981
185.365 479.8263
183.9996 481.1829
183.5841 478.9415
180.4378 479.4134
178.2414 479.8263
175.0951 479.8263
171.1178 480.711
169.7524 482.4805
171.1178 483.3652
168.8619 483.3652
167.9715 480.711
168.4464 478.0568
166.1906 474.9897
167.9715 471.4508
167.5559 468.3247
167.081 465.6705
164.4097 463.4882
161.3228 461.2468
159.5419 459.9492
156.3956 457.7079
153.3087 456.4103
150.1624 458.5926
147.966 460.834
144.4041 462.6034
140.8423 464.7858
138.171 467.0861
137.6367 464.9627
137.2805 464.3729
