x y
2 0
257.7816 731.4872
258.6502 732.6966
259.8387 733.5029
261.0729 734.1748
262.4443 734.8468
264.1357 735.2051
265.3242 736.3698
266.3756 737.0417
267.3813 737.5344
267.9299 738.8783
268.7527 740.4013
269.4384 741.566
270.4898 742.5962
271.4955 743.7609
273.5525 743.7609
274.4211 743.7609
275.1068 744.2536
275.4725 744.4328
276.981 744.7912
277.8495 743.7609
276.8439 742.9098
275.7925 742.2379
275.1068 741.7451
274.4211 741.566
273.5525 740.894
272.1812 740.5805
271.4955 739.9086
270.9926 738.8783
270.3069 738.072
269.8041 736.8625
268.9355 736.3698
268.2498 735.5187
267.3813 734.8468
266.0099 734.0405
263.8157 733.6821
262.7643 733.1894
261.7586 732.3383
259.5187 731.4872
258.833 731.3528
257.7816 731.4872
257.7816 731.4872
