x y
3 0
332.2016 862.1674
332.5221 861.526
332.5221 860.1822
332.2021 858.8383
331.8364 857.808
331.6993 856.4642
330.8307 855.6579
331.0136 854.6276
331.0136 853.6421
330.3279 853.1046
329.6422 852.791
329.4593 851.7608
329.4593 850.7753
329.4593 850.2825
328.7737 849.6106
327.9051 849.4314
327.0366 849.2523
326.5337 848.5804
326.2137 847.5949
326.2137 847.0573
326.7166 845.7135
326.7166 845.3999
326.8994 844.3697
326.3509 844.0561
326.0309 843.205
325.528 842.3539
324.8424 842.0403
323.6081 841.3684
322.6024 841.1892
320.8653 840.5173
320.1796 840.5173
318.3054 840.5173
316.7512 840.6965
315.9283 840.0246
314.6941 838.9943
314.6941 837.5161
315.0598 835.9931
314.1913 835.3211
313.8713 834.8284
