x y
1 0
141.9274 676.8607
143.1425 675.9639
143.1425 673.5181
142.5754 671.643
142.2514 670.094
143.4665 668.3005
143.4665 665.5287
144.3575 663.409
144.3575 660.6371
145.2485 659.7404
147.1116 657.2946
147.4356 654.5228
147.6786 652.7292
147.6786 649.6312
147.1116 646.8594
144.6815 645.6365
143.7905 643.1907
141.0364 642.294
139.1733 641.9679
136.5003 642.294
134.6372 639.8482
132.5312 638.2992
130.6681 637.7286
129.2101 637.7286
128.8861 641.0711
129.4531 643.5168
131.6401 645.3919
132.8552 645.3919
131.8831 647.8377
131.3161 650.528
130.6681 652.4031
129.2101 652.9738
129.2101 654.5228
130.1011 655.4195
131.3161 656.3978
132.2072 657.6207
133.4222 658.8436
133.0982 659.7404
131.8831 659.4143
130.4251 660.6371
128.8861 660.6371
128.8861 658.8436
128.5621 657.2946
127.6710 655.7456
126.456 654.8489
124.5930 653.2999
123.3779 651.7509
122.1629 650.528
120.3808 649.6312
119.1658 649.3051
117.6268 649.6312
118.2748 650.8541
118.2748 652.077
118.2748 653.626
119.1658 655.175
119.7328 656.0717
120.7048 656.6424
121.5959 659.0882
121.2719 660.9632
120.0568 662.1861
120.3808 662.7568
121.2719 663.9797
121.5959 666.4254
123.1349 668.6266
123.7019 669.8495
126.132 669.5234
127.6710 670.094
129.4531 671.0724
130.9921 672.8659
130.6681 670.4202
129.4531 668.3005
129.2101 665.5287
130.1011 665.8548
131.3161 668.8712
131.6401 670.4202
133.4222 671.0724
135.2852 672.2952
136.1763 673.192
137.9583 674.0888
140.3884 674.9856
141.3604 676.2085
141.9274 676.8607
