x y
2 0
-4.3016 324.1129
-5.667 325.4695
-5.1921 327.2389
-4.7765 329.4213
-6.5574 329.0084
-8.7539 329.4213
-8.7539 330.306
-9.2288 331.1908
-6.5574 331.6626
-5.1921 332.9602
-2.1052 333.4321
0.1507 333.4321
1.4567 333.845
3.2376 335.6144
1.4567 337.8558
1.4567 339.1534
0.1507 340.51
0.1507 342.6923
2.822 343.1642
4.128 342.6923
5.4934 343.1642
6.3838 345.3465
4.6029 346.2313
3.2376 346.7031
3.2376 348.4726
3.7125 349.7702
6.7994 349.7702
9.9457 348.0007
10.3612 349.7702
12.617 348.8855
14.8135 348.4726
11.7266 347.116
11.2516 347.116
9.9457 345.8184
9.0552 344.9336
7.6898 343.577
7.6898 343.1642
6.3838 342.2794
6.3838 340.9228
6.3838 340.0381
6.3838 338.7405
7.2743 337.3839
6.3838 336.0863
5.9089 334.7297
6.3838 333.845
7.2743 333.845
7.2743 332.5473
5.4934 332.5473
5.4934 331.1908
7.2743 329.4213
4.128 329.0084
2.3471 330.7779
1.9316 331.1908
-0.3242 330.306
-1.2147 329.4213
-2.1052 327.6518
-2.9956 325.4695
-3.4112 324.1129
-5.667 323.7
-5.667 324.1129
