x y
3 0
482.9466 419.4856
482.6478 419.4778
482.1803 419.8694
482.005 420.3169
481.1285 420.0931
480.4272 419.254
480.0182 419.0303
478.2651 418.8625
476.9211 419.4778
476.0446 420.3169
475.4018 420.9322
474.1162 421.5475
473.2397 421.7713
471.8957 421.995
470.6101 422.2188
469.2661 422.8341
468.3896 424.2885
467.7468 424.5123
466.6365 424.0648
465.76 424.5123
464.4744 425.3514
463.7732 426.4142
463.3642 426.8058
462.7214 427.6449
461.3774 428.0924
460.5008 428.9315
459.3906 430.1621
458.9815 431.8403
457.8713 433.1269
456.1182 433.7422
454.5989 433.966
453.4886 434.1338
451.3265 434.3575
449.5735 434.3575
448.2295 434.3575
445.3661 434.9729
443.6131 435.8119
441.86 436.4832
440.3407 436.651
439.0551 436.2595
437.7111 436.0357
434.6725 436.4832
432.2182 437.0985
