x y
329.9335 561.9101
330.2575 560.035
331.7966 559.4644
333.0116 559.1383
334.7936 558.8122
334.2266 557.5893
331.7966 558.4861
329.6095 558.2415
328.3945 557.5893
327.1794 557.5893
325.9644 557.5893
325.3974 558.8122
323.8583 559.4644
322.3193 559.709
320.8613 559.709
318.9982 559.1383
317.7832 559.1383
316.5681 558.4861
316.2441 556.6925
316.0011 555.4696
316.8921 554.8174
318.6742 554.2468
318.1072 552.6978
317.4592 551.4749
316.2441 552.6978
315.0291 553.5946
313.8141 553.5946
312.032 553.5946
311.141 552.1271
309.9260 550.5781
309.6020 548.703
308.3869 548.1324
308.3869 546.9095
307.4959 546.0127
307.4959 544.7898
307.4959 543.8115
307.1719 543.2409
307.1719 541.6919
307.1719 540.1429
306.8479 538.92
305.6328 538.0233
304.4178 536.4743
303.2028 535.0068
301.9877 533.7839
301.6637 532.235
301.0967 531.0121
300.4487 530.1153
299.5577 529.137
298.9907 526.6912
298.6667 524.8977
298.0186 524.0009
298.6667 522.4519
298.6667 520.5769
297.7756 519.1094
297.1276 518.1311
296.5606 516.3375
295.9126 514.7886
295.0216 513.5657
294.1305 512.6689
294.1305 510.7938
295.3456 509.0003
297.4516 507.1252
298.6667 505.9023
298.6667 504.4349
300.2057 503.212
300.4487 502.1522
301.0967 500.3586
302.3118 498.8096
302.8788 496.9346
305.0658 496.0378
305.3088 494.4888
307.1719 493.592
308.0629 493.2659
307.7389 490.8202
307.1719 487.8037
307.4959 486.2548
308.0629 484.7058
308.9539 483.4829
309.9260 482.0154
310.493 480.4665
311.384 478.9175
312.356 477.6946
313.8141 475.9011
314.1381 474.6782
316.2441 474.9228
317.2162 474.9228
318.1072 475.2489
318.4312 477.6946
319.3222 478.9175
320.8613 480.7926
321.1043 478.3468
320.5372 476.1456
320.2132 473.6999
320.2132 472.477
318.6742 472.477
318.1072 470.6834
317.2162 467.3409
317.2162 464.8952
317.7832 462.1233
318.6742 460.2482
320.5372 458.7808
322.0763 457.8025
322.9673 460.0036
322.9673 462.1233
323.5343 463.6723
325.0734 463.9168
325.9644 464.8952
326.9364 466.6887
328.7185 468.2377
329.0425 470.3573
329.6095 471.5802
330.5815 473.1292
330.5815 474.6782
330.5815 476.7978
331.7966 478.3468
333.0116 476.4717
333.0116 474.3521
333.5786 473.1292
333.5786 471.2541
333.5786 469.7867
335.1176 468.8084
336.3327 470.0312
338.4387 470.3573
338.1147 472.8031
339.3298 473.6999
340.8688 474.6782
342.7318 474.6782
344.1899 475.5750
346.0529 478.3468
347.835 480.4665
348.807 478.9175
346.6200 477.6946
345.7289 476.4717
344.5139 474.6782
343.2989 473.4553
343.2989 471.2541
344.1899 469.7867
345.7289 468.8084
346.6200 467.5855
346.3769 465.4658
346.0529 464.2430
345.1619 463.0201
344.1899 462.694
342.9749 461.2265
341.1928 460.0036
340.3018 458.4547
339.9778 456.335
340.3018 453.8893
342.4078 453.2370
344.5139 454.4599
344.5139 456.5796
344.5139 458.7808
345.4049 458.7808
345.4049 456.335
345.4049 453.5632
344.1899 452.9109
342.4078 451.6881
342.7318 449.2423
342.9749 447.7749
341.1928 447.1227
339.3298 448.0194
337.2237 448.0194
336.0087 447.1227
334.2266 445.8998
333.9026 443.454
334.2266 441.9050
335.4416 440.1115
336.8997 438.8886
338.1147 437.3396
337.8717 437.3396
333.0116 445.3291
330.2575 445.3291
329.6095 443.1279
329.6095 441.3344
330.5815 439.7854
330.2575 438.2364
329.6095 436.769
328.3945 435.22
328.3945 433.3449
329.0425 431.5513
329.3665 430.3285
329.6095 428.2088
329.9335 426.9859
330.8245 426.0076
333.2546 425.437
333.9026 423.888
336.8997 423.5619
338.7627 423.3173
342.4078 423.3173
344.8379 424.2141
345.4049 422.6651
343.9469 422.339
342.0838 422.9912
340.8688 422.6651
339.3298 422.6651
338.4387 422.6651
337.2237 421.4422
336.8997 419.6487
335.1176 418.4258
333.2546 416.8768
332.6876 415.6539
331.7966 414.4311
331.4725 413.7789
331.1485 413.2082
330.2575 411.3331
328.7185 410.4363
328.1515 408.8873
327.1794 407.0938
327.1794 405.8709
326.6124 403.9958
327.1794 401.5501
328.7185 400.6533
329.3665 399.4304
329.3665 397.8814
329.3665 396.414
330.2575 394.5389
331.7966 393.6421
331.7966 391.7671
332.3636 389.9735
333.0116 387.5277
333.9026 386.3049
335.4416 384.7559
336.6567 383.2069
338.1147 381.7395
339.3298 380.7612
341.1928 379.8644
343.6229 378.9676
345.7289 378.9676
348.483 378.9676
349.374 380.1905
351.4801 381.4134
353.3431 381.7395
355.4492 382.3101
354.5582 381.7395
352.6951 381.0873
350.9131 379.8644
348.483 378.6415
348.483 377.4186
348.483 375.6251
346.9440 375.299
345.1619 375.8696
343.6229 376.1957
342.7318 374.9729
340.8688 374.6468
338.4387 375.8696
337.5477 377.7447
335.6847 379.2937
335.1176 381.0873
334.7936 382.6362
333.2546 385.4081
332.6876 386.631
330.8245 387.8538
329.3665 389.0767
328.7185 390.5442
326.2884 389.6474
324.1823 388.4245
322.9673 387.8538
321.7523 387.2016
320.2132 386.631
319.8892 384.8374
320.2132 383.2069
321.1043 381.4134
322.9673 380.5166
324.1823 378.9676
325.0734 377.7447
325.3974 376.5218
325.7214 375.299
326.9364 374.0761
326.6124 372.201
